Family,Common Name,Scientific Name,Long Term Status,Current Status,Range Status,Concern Status,IUCN,WLPA Schedule
Ploceidae (Weavers and Allies),Baya Weaver,Ploceus philippinus,Stable,Moderate Decline,Very Large,Low,Least Concern,Schedule-IV
Cuculidae (Cuckoos),Greater Coucal,Centropus sinensis,Stable,Strong Increase,Very Large,Low,Least Concern,Schedule-IV
Columbidae (Pigeons and Doves),Spotted Dove,Streptopelia chinensis,Stable,Stable,Very Large,Low,Least Concern,Schedule-IV
Coraciidae (Rollers),Indian Roller,Coracias benghalensis,Stable,Strong Decline,Very Large,Low,Least Concern,Schedule-IV
Alcedinidae (Kingfishers),White-throated Kingfisher,Halcyon smyrnensis,Stable,Moderate Decline,Very Large,Low,Least Concern,Schedule-IV
Muscicapidae (Old World Flycatchers),Pied Bushchat,Saxicola caprata,Stable,Uncertain,Large,Low,Least Concern,Schedule-IV
Pycnonotidae (Bulbuls),Red-vented Bulbul,Pycnonotus cafer,Stable,Stable,Very Large,Low,Least Concern,Schedule-IV
Nectariniidae (Sunbirds and Spiderhunters),Purple-rumped Sunbird,Leptocoma zeylonica,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
"Ardeidae (Herons, Egrets, and Bitterns)",Indian Pond-Heron,Ardeola grayii,Stable,Moderate Decline,Very Large,Low,Least Concern,Schedule-IV
Estrildidae (Waxbills and Allies),Scaly-breasted Munia (Spotted Munia),Lonchura punctulata,Uncertain,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Sturnidae (Starlings),Common Myna,Acridotheres tristis,Stable,Stable,Very Large,Low,Least Concern,Schedule-IV
Sturnidae (Starlings),Brahminy Starling,Sturnia pagodarum,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
"Accipitridae (Hawks, Eagles, and Kites)",Shikra,Accipiter badius,Stable,Stable,Very Large,Low,Least Concern,Schedule-I
Phalacrocoracidae (Cormorants and Shags),Little Cormorant,Microcarbo niger,Stable,Strong Decline,Very Large,Low,Least Concern,Schedule-IV
"Accipitridae (Hawks, Eagles, and Kites)",White-eyed Buzzard,Butastur teesa,Stable,Strong Decline,Moderate,Moderate,Least Concern,Schedule-I
"Accipitridae (Hawks, Eagles, and Kites)",Black-winged Kite (Black-shouldered Kite),Elanus caeruleus,Stable,Strong Decline,Very Large,Low,Least Concern,Schedule-I
"Anatidae (Ducks, Geese, and Waterfowl)",Eurasian Wigeon,Mareca penelope,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
"Accipitridae (Hawks, Eagles, and Kites)",Eurasian Marsh-Harrier,Circus aeruginosus,Stable,Uncertain,Large,Low,Least Concern,Schedule-I
Meropidae (Bee-eaters),Blue-tailed Bee-eater,Merops philippinus,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
Phylloscopidae (Leaf Warblers),Greenish Warbler,Phylloscopus trochiloides,Moderate Decline,Uncertain,Large,Moderate,Least Concern,Schedule-IV
"Ardeidae (Herons, Egrets, and Bitterns)",Intermediate Egret,Ardea intermedia,Stable,Strong Decline,Very Large,Low,Least Concern,Schedule-IV
"Accipitridae (Hawks, Eagles, and Kites)",Brahminy Kite,Haliastur indus,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-I
Dicruridae (Drongos),Black Drongo,Dicrurus macrocercus,Stable,Moderate Decline,Very Large,Low,Least Concern,Schedule-IV
"Ardeidae (Herons, Egrets, and Bitterns)",Grey Heron,Ardea cinerea,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Falconidae (Falcons and Caracaras),Eurasian Kestrel (Common Kestrel),Falco tinnunculus,Moderate Decline,Strong Decline,Moderate,Moderate,Least Concern,Schedule-IV
"Anatidae (Ducks, Geese, and Waterfowl)",Northern Pintail,Anas acuta,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
Oriolidae (Old World Orioles),Indian Golden Oriole,Oriolus kundoo,Stable,Uncertain,Large,Low,Least Concern,Schedule-IV
Scolopacidae (Sandpipers and Allies),Wood Sandpiper,Tringa glareola,Stable,Moderate Decline,Very Large,Low,Least Concern,Schedule-IV
Anhingidae (Anhingas),Oriental Darter,Anhinga melanogaster,Uncertain,Moderate Decline,Very Large,Low,Near Threatened,Schedule-IV
Apodidae (Swifts),Asian Palm-Swift,Cypsiurus balasiensis,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Threskiornithidae (Ibises and Spoonbills),Black-headed Ibis,Threskiornis melanocephalus,Moderate Increase,Uncertain,Very Large,Low,Near Threatened,Schedule-IV
"Ardeidae (Herons, Egrets, and Bitterns)",Black-crowned Night-Heron,Nycticorax nycticorax,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
"Rallidae (Rails, Gallinules, and Coots)",Eurasian Moorhen,Gallinula chloropus,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
Pelecanidae (Pelicans),Spot-billed Pelican,Pelecanus philippensis,Uncertain,Uncertain,Moderate,Moderate,Near Threatened,Schedule-IV
Hirundinidae (Swallows),Barn Swallow,Hirundo rustica,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
"Laridae (Gulls, Terns, and Skimmers)",Whiskered Tern,Chlidonias hybrida,Moderate Decline,Strong Decline,Moderate,Moderate,Least Concern,Schedule-IV
Recurvirostridae (Stilts and Avocets),Black-winged Stilt,Himantopus himantopus,Stable,Uncertain,Large,Low,Least Concern,Schedule-IV
Ciconiidae (Storks),Asian Openbill,Anastomus oscitans,Stable,Strong Decline,Very Large,Low,Least Concern,Schedule-IV
"Accipitridae (Hawks, Eagles, and Kites)",Black Kite,Milvus migrans,Stable,Uncertain,Large,Low,Least Concern,Schedule-I
"Rallidae (Rails, Gallinules, and Coots)",Eurasian Coot,Fulica atra,Stable,Strong Decline,Large,Moderate,Least Concern,Schedule-IV
Alcedinidae (Kingfishers),Pied Kingfisher,Ceryle rudis,Moderate Decline,Strong Decline,Very Large,Moderate,Least Concern,Schedule-IV
"Phasianidae (Pheasants, Grouse, and Allies)",Grey Francolin,Francolinus pondicerianus,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
"Anatidae (Ducks, Geese, and Waterfowl)",Indian Spot-billed Duck,Anas poecilorhyncha,Stable,Moderate Decline,Very Large,Low,Least Concern,Schedule-IV
Psittaculidae (Old World Parrots),Rose-ringed Parakeet,Psittacula krameri,Stable,Stable,Very Large,Low,Least Concern,Schedule-IV
Laniidae (Shrikes),Bay-backed Shrike,Lanius vittatus,Moderate Decline,Uncertain,Very Large,Moderate,Least Concern,Schedule-IV
Dicruridae (Drongos),Ashy Drongo,Dicrurus leucophaeus,Stable,Uncertain,Moderate,Low,Least Concern,Schedule-IV
Motacillidae (Wagtails and Pipits),White-browed Wagtail (Large Pied Wagtail),Motacilla maderaspatensis,Moderate Decline,Strong Decline,Very Large,Moderate,Least Concern,Schedule-IV
Phalacrocoracidae (Cormorants and Shags),Indian Cormorant (Indian Shag),Phalacrocorax fuscicollis,Moderate Increase,Strong Decline,Very Large,Low,Least Concern,Schedule-IV
